Tempo,Acc_Y,Vel_Y,Dist_Y
2.074195146560669,-0.03,-0.07,-0.17
2.0899927616119385,-0.02,0.18,15.43
2.107274055480957,-0.03,-0.28,-27.13
2.1233742237091064,-0.05,-1.17,-55.34
2.13987398147583,-0.04,0.51,98.48
2.1562085151672363,-0.05,-0.45,-59.74
2.172440767288208,-0.04,0.18,39.28
2.1877667903900146,-0.03,0.59,24.23
2.2055389881134033,-0.04,-0.09,-42.58
2.221607208251953,-0.03,0.37,26.82
2.2381296157836914,-0.03,-0.3,-41.59
2.25461483001709,-0.03,-0.03,16.83
2.270083427429199,-0.02,0.7,43.18
2.2875006198883057,-0.03,-0.51,-75.81
2.3037171363830566,-0.02,0.48,61.73
2.3200020790100098,-0.04,-0.99,-86.16
2.3364417552948,-0.03,0.63,100.9
2.353045701980591,-0.09,-3.75,-257.34
2.369124174118042,-0.02,4.61,522.19
2.385826349258423,0.02,2.21,-149.64
2.4022557735443115,-0.02,-2.06,-251.23
2.4180777072906494,-0.04,-1.17,55.56
2.434993267059326,-0.05,-0.51,38.83
2.4509642124176025,-0.05,-0.45,3.63
2.467650890350342,-0.04,0.63,67.34
2.4840965270996094,-0.05,-0.23,-50.22
2.50002384185791,-0.05,-0.3,-4.62
2.516900062561035,-0.05,0.12,26.19
2.533191442489624,-0.06,-0.39,-30.24
2.549569606781006,-0.06,-0.27,7.81
2.5660319328308105,-0.05,0.73,58.92
2.582456588745117,-0.05,-0.09,-51.38
2.5990118980407715,-0.03,0.96,65.47
2.6151952743530273,-0.05,-1.1,-120.95
2.6315364837646484,-0.06,-0.12,61.18
2.647876262664795,-0.07,-0.93,-50.5
2.6642539501190186,-0.06,0.7,96.0
2.680021286010742,-0.07,-0.66,-85.16
2.6970489025115967,-0.06,0.73,81.81
2.713395357131958,-0.07,-0.56,-76.22
2.7302372455596924,-0.07,-0.06,31.47
2.746246576309204,-0.06,0.37,25.06
2.7621355056762695,-0.07,-0.63,-62.17
2.7791004180908203,-0.08,-0.65,-1.14
2.7954893112182617,-0.07,0.72,85.38
2.8117713928222656,-0.06,0.36,-22.45
2.8281235694885254,-0.05,0.99,36.87
2.844421148300171,-0.06,-0.57,-97.15
2.861010789871216,-0.05,0.68,73.21
2.877394199371338,-0.04,0.18,-31.03
2.8935422897338867,-0.06,-1.11,-80.43
2.9099886417388916,-0.05,0.82,113.19
2.9265403747558594,-0.08,-1.89,-168.89
2.942920446395874,-0.05,1.47,209.49
2.959242343902588,-0.06,-0.62,-122.71
2.9761760234832764,-0.07,-0.42,12.54
2.9920713901519775,-0.06,0.65,62.75
3.008314847946167,-0.05,0.45,-12.43
3.0245039463043213,-0.06,-0.63,-67.34
